Id,dominant_topic,topic_prob
149559,1,0.5249977208076267
149585,6,0.36666688321292584
150284,4,0.27500019580425855
150375,1,0.5499886353059967
150517,8,0.5249667702960864
150532,8,0.40120370424792673
150705,5,0.41993491850873693
151199,1,0.36665909069531144
151846,2,0.27500031669873226
151929,2,0.5249999987524036
152068,0,0.27500033363125054
152218,2,0.5249999822494216
152344,1,0.5249976458298824
152580,6,0.5250000073038786
153221,0,0.3666666657898897
153227,3,0.27500002494513465
153584,0,0.36666670756857644
153773,4,0.45112983208050056
153956,5,0.2750000376321052
154443,1,0.5159568539992954
154504,3,0.27500008978184587
154592,2,0.5250000404348876
155029,5,0.3666666690949232
155822,6,0.3666666487466377
156330,9,0.6999908696411378
156360,0,0.27500000051528806
156504,2,0.36666652579267783
156873,0,0.2750000045398867
156951,4,0.7749665292084258
157018,5,0.2750000334201175
157039,7,0.2750000064076883
157116,5,0.2750000781286057
157313,1,0.5249863766972847
157359,0,0.3666666790549976
157424,6,0.5249738878427953
157662,4,0.6999983075723262
157938,9,0.525000111189941
158268,1,0.7749852053378133
158546,9,0.5249963627172882
159137,3,0.5250000026448057
159541,9,0.699993021808885
159720,7,0.5250000218054046
159802,2,0.5249998810960769
159990,5,0.4199348074195663
160009,0,0.52500007041915
160245,9,0.4869870840261219
160298,4,0.5250000063276796
160834,7,0.5250001592985514
160859,4,0.5249999901584144
160889,7,0.27500035018373514
160905,3,0.27500033273174374
161367,2,0.5250001049782533
161755,2,0.6999692125161284
162656,1,0.5499886353059967
162798,1,0.6999969575354325
162808,5,0.2750000243338057
163009,9,0.4958827973127341
163542,2,0.27500006798929827
163603,1,0.5499886353059967
163823,4,0.3666666546687799
164137,5,0.36666667625056065
164427,1,0.3666666680595119
164460,4,0.5249999972472292
164901,5,0.5499999999568985
165495,5,0.5249754398944289
165883,1,0.5249977327949293
166044,0,0.3666668112062832
166198,0,0.36666666972691014
166334,0,0.27500003049096544
166364,1,0.7749884762657651
166431,0,0.3666668981648638
166506,8,0.5249667434833497
166545,8,0.5249999655353318
166944,0,0.27500000076177233
167120,2,0.5250001446894295
167426,0,0.2750000294721361
167439,7,0.5499999999907983
167923,2,0.27499999237330963
168022,7,0.5250000166091732
168113,7,0.36666662247059995
168167,1,0.7749835829885557
168273,0,0.366666690708105
168409,9,0.5249868324562561
168559,1,0.3666667078065676
168727,7,0.549999999982274
169070,4,0.6999877910936125
169362,4,0.6999990221490937
169810,5,0.5249999717717445
169897,7,0.7749809367234598
170278,8,0.5249667524367388
170337,7,0.3666666192865123
170353,0,0.5249816445684051
171267,0,0.5250001673411084
171277,5,0.549999999989977
171512,2,0.6999999999767729
171662,0,0.5249999854916212
171694,1,0.27500003554552366
171765,9,0.5250000016139864
172040,5,0.6999671862974137
172066,8,0.2750001005303445
172306,8,0.27500009043840307
172392,9,0.4912771868148465
172439,1,0.49667552248956426
172720,7,0.3666669143963563
173246,1,0.5249977244381221
173278,2,0.5249986159361365
173290,1,0.7749724982086258
173484,1,0.4966757990556836
173687,2,0.5250008661942346
173905,5,0.5499999999885946
174170,7,0.36666665278485394
174853,3,0.5249809330234616
174890,8,0.5249668650406183
175240,3,0.3666666182745969
175544,0,0.5250000063803794
176011,9,0.524996600152509
176179,0,0.2750000657931807
176213,5,0.2750000074287573
176918,8,0.275000012790673
176955,3,0.3666666649663214
177284,6,0.5249742223519731
177287,1,0.40717319549334186
177389,8,0.6999984833322875
177492,8,0.36666669103310595
177910,4,0.5249638197401786
178199,7,0.36666673245081566
178300,9,0.5499817756225399
178458,4,0.36666692243038634
179026,1,0.36665909069531144
179287,4,0.524963670168163
179716,8,0.27500002432658105
179985,4,0.52499997503861
180095,0,0.27500004469944833
180606,9,0.2750000411650924
180809,3,0.7749884878053506
180986,8,0.5499999999964612
181530,4,0.3666667298838317
181543,7,0.36666665754250205
181556,2,0.2750000135260636
181573,4,0.5249999952065726
181648,8,0.5249999925887449
181724,8,0.5249669309520231
181818,6,0.5499999999498545
181994,2,0.5249998924714881
182053,0,0.5499999999981292
182197,1,0.36665909069531144
182229,4,0.3666667647940134
182253,8,0.27500028770619794
183042,4,0.5249678063161682
183480,2,0.2750000040335682
183853,9,0.5249924079660335
184049,7,0.2750001505539755
184187,0,0.3666666668600014
185378,7,0.5249999847471967
185389,6,0.5249739928948959
185936,8,0.6999999999966787
186131,6,0.27500003794778927
186202,8,0.5250000844209372
186316,9,0.5249963489297632
186472,8,0.5249667525073793
186857,2,0.774982342973266
186916,7,0.275000276482964
187273,0,0.36666666263115033
187434,3,0.36666667152466303
187455,3,0.5499999999668764
187552,8,0.3666667547719328
187621,1,0.3666667239165602
188417,2,0.27500000328632246
188444,8,0.5249667519385511
188451,2,0.3666668304377697
189087,1,0.3666666680595119
189555,9,0.497704522168302
189645,6,0.36666666914325297
189751,8,0.5249667364030951
189861,3,0.275000005585355
189943,8,0.36666666712312346
190010,7,0.6999981973365605
190115,6,0.6999651544695975
190675,8,0.7749827567906974
190967,9,0.5250001009033021
191010,0,0.4612964267360539
191062,5,0.27500056231411935
191359,2,0.5249999964478045
191536,8,0.5249667654135931
191644,2,0.2750000748222958
191700,0,0.5250002224895154
192109,6,0.6999999999958046
192261,7,0.3666666537013699
192345,9,0.4958827770498402
192367,7,0.3666666528708226
192579,4,0.7749808921230997
192649,9,0.3666667133884877
192907,7,0.5249999990968178
193077,3,0.366667073538646
193161,5,0.27500042675453384
193701,5,0.5250000086578576
193789,2,0.5499999999247662
193919,4,0.6999825559126169
194289,0,0.27500014664848704
194339,7,0.2749999986225578
195101,9,0.5249912821422185
195109,9,0.5249951487470929
195116,5,0.5499999999885946
195534,3,0.27500000509018585
195625,3,0.5499999999920654
195626,1,0.5249976487984045
195771,9,0.6999999999984127
196217,2,0.27500006952161615
196345,6,0.5249999986125982
196755,8,0.6999999999980816
196771,3,0.2750000456789646
196776,3,0.2750000089927067
196841,3,0.36666666739070264
196924,0,0.2750003070496069
196930,6,0.36666666177589974
196960,1,0.6999969575701972
197009,0,0.27500016070383015
197387,8,0.6999999999552904
197759,1,0.5250000042401506
198465,9,0.49762115160533055
198692,8,0.36666705401208716
199059,9,0.5249987885250317
199180,0,0.2750000051466669
199556,2,0.3666666906066178
200020,4,0.5249999982191424
200250,8,0.2750002048063374
200373,2,0.27500004067561634
200447,8,0.5249577395484124
200599,2,0.4022874022345439
200738,0,0.366666639332904
201461,7,0.6999746243602423
201515,7,0.27500012300711374
201846,6,0.5249739199419761
202939,6,0.27500004939819483
203487,9,0.49751626445160896
203758,0,0.2750000718849681
203859,0,0.6999978412519888
203912,0,0.36666668488970816
204017,0,0.36666664927250225
204062,4,0.524963640570721
204308,6,0.5249999986125982
204427,9,0.5249931769345044
204570,0,0.4660584260514845
204802,0,0.1
204829,7,0.27500007566341284
205062,9,0.2750000028902005
205136,1,0.36665909069531144
205204,5,0.2750005448541779
205704,2,0.5249999650179071
206040,2,0.36666672565715575
206245,2,0.2750000078230765
206734,6,0.3666666768040139
206823,8,0.2750001455192794
206855,9,0.5249998879886614
206916,0,0.5249999947288104
207000,8,0.3666666693492696
207230,2,0.6999457186390879
207234,3,0.2750000121747959
207290,3,0.3666666819791455
207763,8,0.3666667055061318
207939,3,0.36666667213858184
207981,4,0.2750001822953084
208085,2,0.40197226366246863
208120,2,0.27500000191434637
208894,0,0.1
209023,1,0.45083831141037817
209429,7,0.3666666702499106
209470,4,0.525000555104578
209484,8,0.5249508773333232
209513,3,0.5499999999443408
209840,1,0.774997902351196
210067,3,0.6999999999698532
210344,7,0.2750000941655893
210461,7,0.3666667505319952
210522,3,0.2750000234553855
210629,4,0.7749705942597804
210978,9,0.5249923944388081
211046,1,0.2750000772108203
211100,7,0.27500005742165906
211118,9,0.5249924032184328
211160,2,0.36666669359926624
211483,2,0.5499999999487012
211501,9,0.7749977308934287
211695,9,0.5250000004700239
212125,8,0.5249999977720159
212358,0,0.5250000590760654
212715,9,0.4471688214355864
212797,7,0.36666675268019533
212941,8,0.5249667498409248
213237,5,0.5250000823064145
213455,2,0.7749849447704302
213483,6,0.2750002268313679
